# chinese,pinyin,english and descriptions
外卖,wai4 mai4,food takeout/food delivery
需要多少时间,xu1 yao4 duo1 shao3 shi2 jian1,how long does it take?/how much time is needed?
从这儿走路去需要多少时间,cong2 zhe4 r zou3 lu4 qu4 xu1 yao4 duo1 shao3 shi2 jian1,how long does it take to walk from here
紧急,jin3 ji2,emergency/urgent
染,ran3,catch a disease/acquire bad habit/contaminate (c. 感染)
感染,gan3:2 ran3,infect (verb)/infection (noun)
拿起,na2 qi3,pick up
打开,da3 kai1,open/turn on
误点,wu4 dian3,delayed/overdue/behind schedule
喉咙,hou2 long2:,throat/larynx
顾客,gu4 ke4,customer/client
四五位重要的顾客,si4 wu3 wei4 zhong4 yao4 de gu4 ke4,4 or 5 important customers
会议准备得怎么样了,hui4 yi4 zhun3 bei4 de zen3 me yang4 le,how is the preparation for the meeting going?
招,zhao1,recruit/provoke/beckon (c. 招待会)
招待会,zhao1 dai4 hui4,reception
使,shi3,make/cause/enable (c. 大使馆/使用) (sim. 让)
大使馆,da4 shi3:2 guan3,embassy
银行柜员,yin2 hang2 gui4 yuan2,bank teller
每个人都参加招待会,mei3 ge4 ren2 dou1 can1 jia1 zhao1 dai4 hui4,everyone participates in the reception/everyone joins the reception
他也需要打地区号吗,ta1 ye3 xu1 yao4 da3 di4 qu1 hao4 ma,does he also need to dial the area code?
便利店,bian4 li4 dian4,convenience store
麦克风,mai4 ke4 feng1,microphone (loanword)
大楼,da4 lou2,large multistory building
那里有一位警察,na4 li3:2 you3 yi1:2 wei4 jing3 cha2,there is a police officer over there
接待,jie1 dai4,receive a visitor/admit someone to enter (c. 接待员)
接待员,jie1 dai4 yuan2,receptionist
我肚子饿,wo3 du4 zi e4,i am hungry (alt. 我饿了)
我口渴,wo3 kou3:2 ke3,i am thirsty (alt. 我渴了)
你得问接待员,ni3:2 dei3 wen4 jie1 dai4 yuan2,you have to ask the receptionist
搬到,ban1 dao4,moved to a specific place
他上个月搬到南京,ta1 shang4 ge4 yue4 ban1 dao4 nan2 jing1,he moved to nanjing last month
雪糕,xue3 gao1,ice cream
华,hua2,magnificant/splendid/flowery (c. 豪华/华盛顿)
豪华,hao2 hua2,luxurious/fancy
读书,du2 shu1,read a book/study/attend school
耳机,er3 ji1,headphones/earphones
厕纸,ce4 zhi3,toilet paper
停车,ting2 che1,stop the car/park the car
骑车,qi2 che1,ride a bicycle/ride a motorcycle
下次，什么时候开,xia4 ci4 : shen2 me shi2 hou4 kai1,when is the next (event)?
五个站以后下车,wu3 ge4 zhan4 yi3 hou4 xia4 che1,after 5 stops get off/get off after 5 stops
让我们在火车站的入口见,rang4 wo3 men zai4 huo3 che1 zhan4 de ru4 kou3 jian4,let's meet at the entrance to the train station
成功,cheng2 gong1,succeed/success
上司,shang4 si1:,supervisor/superior
演唱会,yan3 chang4 hui4,concert/voice recital
一点小意思,yi1:4 dian3:2 xiao3 yi4 si1:,here's a small token (say when giving a gift)
这种花普通话叫什么,zhe4 zhong3 hua1 pu3 tong1 hua4 jiao4 shen2 me,what is this flower called in mandarin?/what is this kind of flower called in mandarin?
赏,shang3,appreciate beauty/bestow a reward
有空的时候,you3 kong4 de shi2 hou4,when there is free time
挤,ji3,crowd in/cram in/squeeze
藏,cang2,conceal/store/collect (c. 藏品)
品,pin3,commodity/product/goods (c. 藏品/商品)
藏品,cang2 pin3,museum piece/precious object
商品,shang1 pin3,commodity/goods/merchandise
钥匙,yao4 shi,key (to open a door)
打字,da3 zi4,type on a keyboard
房间还没有准备好,fang2 jian4 hai2 mei2 you3 zhen3 bei4 hao3,room is still not ready/room is not ready yet
替,ti4,to substite for/take the place of/replace/on behalf of
食物,shi2 wu4,food
应该早点，的,ying1 gai1 zao3:2 dian3 : de,should have ... earlier
本来可以晚点，的,ben3 lai2 ke3:2 yi3 wan3:2 dian3 : de,could have ... later (alt. 原本 or 能)
原本能快点，的,yuan2 ben3 neng2 kuai4 dian3 : de,could have ... faster (alt. 本来 or 可以)
旅行支票,lv3 xing2 zhi1 piao4,traveler's checks
表格,biao3 ge2,paperwork form
填,tian2,fill in/fill out a form
请填这张表格,qing3 tian2 zhe4 zhang1 biao3 ge2,please fill out this form
好多了,hao3 duo1 le,much better
好一点了,hao3 yi1:4 dian3 le,a little better
古,gu3,ancient/old (c. 古典)
古典,gu3:2 dian3,classical (music architecture etc)
厉,li4,strict/severe (c. 厉害)
厉害,li4 hai4,awesome/fierce/makes a strong impression
美食,mei3 shi2,fine food/gourmet food/delicacy
肠,chang2,intestines (c. 香肠)
香肠,xiang1 chang2,sausage
发音,fa1 yin1,pronunciation
语音,yu3 yin1,voice/pronunciation
拼,pin1,piece together/spell (c. 拼音)
拼音,pin1 yin1,pinyin/spelled sounds
上床,shang4 chuang2,go to bed/get on the bed
拳,quan2,fist/boxing (c. 太极拳)
太极拳,tai4 ji2 quan2,taiji/taichi (martial art)
健身房,jian4 shen1 fang2,gymnasium (alt. 体育馆)
运动员,yun4 dong4 yuan2,athlete
疯,feng1,insane/mad/wild
病人,bing4 ren2,sick person/medical patient
权力,quan2 li4,power/authority
金钱,jin1 qian2,money (standalone noun)
安全感,an1 quan2 gan3,sense of security
日程,ri4 cheng2,schedule/itinerary
代,dai4,substitute or replace (verb)/generation or dynasty (noun) (c. 现代化)
现代化,xian4 dai4 hua4,modern/modernization
我开车送你去机场,wo3 kai1 che1 song4 ni3 qu4 ji1 chang3,i will drive you to the airport
航,hang2,navigate (verb)/boat or craft (noun) (c. 航班)
航班,hang2 ban1,flight/sailing trip
晚点了,wan3:2 dian3 le,late/delayed/behind scheduled
谢谢你来机场接我,xie4 xie4: ni3 lai2 ji1 chang3 jie1 wo3,thank you for picking me up at the airport/thank you for coming to the airport to pick me up
棒,bang4,stick or club (noun) (c. 棒球)/wonderful (adj)
中心,zhong1 xin1,center/heart/core (c. 市中心)
市中心,shi4 zhong1 xin1,downtown/city center
频,pin2,frequency/frequently/repetitious (c. 视频)
视频,shi4 pin2,video
制,zhi4,manufacture/control/regulate (verb)/system (noun) (c. 录制)
录制一个新的视频,lu4 zhi4 yi1:2 ge4 xin1 de shi4 pin2,record a new video
队,dui4,squadron/team/group (c. 军队)
军队,jun1 dui4,military/armed forces/troops/army
军事,jun1 shi4,military affairs (noun)/military (adj)
军官,jun1 guan1,military officer
军人,jun1 ren2,military person/soldier
络,luo4,hold in place with a net (c. 网络)
网络,wang3 luo4,internet/telecom network
网络工程师,wang3 luo4 gong1 cheng2 shi1,network engineer
瓜子,gua1 zi,melon seed snack (pumpkin sunflower etc)
哦,o2 :: o4,oh? (doubt or surprise) :: oh! (just learned something)
哇,wa1,wow!
哈哈,ha1 ha1,laugh out loud/lol
房租,fang2 zu1,tenant rent for a dwelling
闹,nao4,noisy/to make noise (c. 热闹)
热闹,re4 nao4:,lively/bustling (lit. hot and noisy)
桥,qiao2,bridge
纪,ji4,age/era (c. 世纪/年纪)
年纪,nian2 ji4,age of something in years
世纪,shi4 ji4,century (lit. world era)
时期,shi2 qi1,point in time/phase (c. 期间)
期间,qi1 jian1,period/phase/wider time interval (c. 时期)
长城是十七世纪建完的,chang2 cheng2 shi4 shi2 qi1 shi4 ji4 jian4 wan2 de,the great wall was built in the 17th century/it was in the 17th century that the great wall was built
今天已经过去了,jin1 tian1 yi3 jing1 guo4 qu4 le,today is over/today has passed
或许,huo4 xu3,perhaps/maybe
章,zhang1,chapter/section/clause (c. 文章)
文章,wen2 zhang1,written article/essay/literary work
宣,xuan1,publicly declare/announce (c. 宣传)
传,chuan2,pass on/spread/transmit/infect (c. 传统/宣传/系统)
宣传,xuan1 chuan2,disseminate/spread information
我家有三口人,wo3 jia1 you3 san1 kou3 ren2,there are 3 people in my family/my family has 3 people
睡过头,shui4 guo4 tou2,oversleep
线,xian4,thread/string/wire/line (c. 时间线)
时间线,shi2 jian1 xian4,timeline
地铁十七号线,di4 tie3 shi2 qi1 hao4 xian4,metro line 17/subway line 17
薄,bao2,thin/indifferent/weak (opp. 厚)
厚,hou4,thick/deep/kind (opp. 薄)
请慢一点说,qing3 man4 yi1:4 dian3 shuo1,please speak slowly/please slow down
座,zuo4,seat/base/stand (noun)/mw for buildings and immovable objects (c. 座位)
郊,jiao1,outskirts/suburbs (c. 郊区)
郊区,jiao1 qu1,outskirts/suburbs
迹,ji4,footprint/mark/trace (c. 古迹)
古迹,gu3 ji4,historic sites
摩天大楼,mo2 tian1 da4 lou2,skyscraper building
他住得离公司很远,ta1 zhu4 de li2 gong1 si1 hen3:2 yuan3,he lives far from the company
上下班,shang4 xia4 ban1,start and finish work
数码,shu4 ma3,number/numerals/figures/digital (alt. 数字)
数字,shu4 zi4,number/numeral/digit/figure (alt. 数码)
数码相机,shu4 ma3 xiang4 ji1,digital camera
竹子,zhu2 zi,bamboo [⺮]
洗碗,xi3:2 wan3,wash the dishes
特色,te4 se4,special characteristic/distinguishing feature
筑,zhu4,build/construct/ram (c. 建筑)
建筑,jian4 zhu4,construct (verb)/building or architecture (noun)
合资,he2 zi1,joint venture/joint capital
企,qi3,plan a project/stand on tiptoe (c. 企业)
企业,qi3 ye4,firm/enterprise/corporation
企业家,qi3 ye4 jia1,entrepreneur
艳,yan4,colorful/splendid/gaudy (c. 鲜艳)
鲜艳,xian1 yan4,bright-colored
电影院,dian4 ying3 yuan4,cinema/movie theater
走出,zou3 chu1,to exit
走进,zou3 jin4,to enter (alt. 进入)
进入,jin4 ru4,to enter (alt. 走进)
出门,chu1 men2,to exit through a door/to leave home
进门,jin4 men2,to enter through a door
你说得对,ni3 shou1 de dui4,you are correct/you said it correctly
酷,ku4,cool (adv & loanword)
自学,zi4 xue2,to teach one's self
你去过汽车博物馆吗,ni3 qu4 guo4 qi4 che1 bo2 wu4 guan3 ma,have you ever been to the car museum?
你最喜欢的果汁是苹果汁还是橙汁,ni3 zui4 xi3 huan1 de guo3 zhi1 shi4 ping2 guo3 zhi1 hai2 shi4 cheng2 zhi1,is your favorite fruit juice apple juice or orange juice?
单位,dan1 wei4,work unit
乖,guai1,well-behaved (child)/obediently (alt. 乖乖)
电气,dian4 qi4,electricity/electrical
收音机,shou1 yin1 ji1,radio
很少,hen3:2 shao3,rarely (time word)
健身,jian4 shen1,exercise/work out
棵,ke1,mw for plants (trees and bamboo)
那棵树下有四棵竹子,na4 ke1 shu4 xia4 you3 si4 ke1 zhu2 zi,there are four bamboos under that tree
人权,ren2 quan2,human rights
自由,zi4 you2,freedom/liberty
难怪,nan2 guai4,no wonder/not surprising
统,tong3,gather/unite/unify (c. 传统/系统)
传统,chuan2 tong3,traditional/conventional
系统,xi4 tong3,system
有害,you3 hai4,harmful/destructive/damaging (opp. 无害)
无害,wu2 hai4,harmless (opp. 有害)
旧,jiu4,old/worn with age (opp. 新)
旧汽车对环境有害,jiu4 qi4 che1 dui4 huan2 jing4 you3 hai4,old cars are bad for the environment
传统汽车对空气质量不好,chuan2 tong3 qi4 che1 dui4 kong1 qi4 zhi4 liang4 bu4 hao3,traditional cars are bad for air quality
难怪你不是车迷,nan2 guai4 ni3 bu4:2 shi4 che1 mi2,no wonder you are not a car fan
骑自行车对身体健康好,qi2 zi4 xing2 che1 dui4 shen1 ti3 jian4 kang1 hao3,cycling is good for health/riding a bicycle is good for health
灰,hui1,gray color/ash/dust
电动,dian4 dong4,electric-powered (c. 电动汽车)
电动汽车,dian4 dong4 qi4 che1,electric car
员工,yuan2 gong1,employee/personnel/staff (of a private company)
官员,guan1 yuan2,government official/administrator
使用,shi3 yong4,use/employ/make use of
店员,dian4 yuan2,shop assistant/salesperson
你们的车是什么颜色,ni3 men de che1 shi4 shen2 me yan2 se4,what color is your car?
我的车是黑色的，我妻子的电动汽车是灰色的,wo3 de che1 shi4 hei1 se4 de : wo3 qi1 zi de dian4 dong4 qi4 che1 shi4 hui1 se4 de,my car is black and my wife's electric car is gray
街头,jie1 tou2,street corner
退休,tui4 xiu1,retire/go into retirement
人口,ren2 kou3,population
社,she4,society/group/club (c. 社会)
社会,she4 hui4,society
济,ji4,aid/relieve (c. 经济)
经济,jing1 ji4,economy/economic (c. 经济特区)
市场,shi4 chang3,marketplace/economic market
市场经济,shi4 chang3 jing1 ji4,free market economy
美国人口也很多,mei3 guo2 ren2 kou3 ye3:2 hen3 duo1,america also has a large population
德国社会和法国社会不一样,de2 guo2 she4 hui4 he2 fa3 guo2 she4 hui4 bu4 yi1:2 yang4,german society is different from french society
日本年轻人越来越少,ri4 ben3 nian2 qing1 ren2 yue4 lai2 yue4 shao3,japan has fewer and fewer young people/there are fewer and fewer young people in japan
韩国是一个市场经济,han2 guo2 shi4 yi1:2 ge4 shi4 chang3 jing1 ji4,south korea is a free market economy
会影响世界经济,hui4 ying3:2 xiang3 shi4 jie4 jing1 ji4,it will affect the world economy
授,shou4,confer/give/teach (cannot use alone) (c. 教授)
教授,jiao4 shou4,professor
孙,sun1,descendant (c. 孙子/孙女/外孙/外孙女)
孙子,sun1 zi,son's son/grandson from son
孙女,sun1 nv3,son's daughter/granddaughter from son
外孙,wai4 sun1,daughter's son/grandson from daughter
外孙女,wai4 sun1 nv3,daughter's daughter/granddaughter from daughter
构,gou4,construct/form/compose (c. 结构)
结构,jie2 gou4,structure/composition
从军,cong2 jun1,enlist/join military (sim. 报名军队)
认出,ren4 chu1,recognize/recognition
从事,cong2 shi4,undertake/engage in/deal with
省,sheng3,save money or economize (verb)/province (noun) (c. 省会)
省会,sheng3 hui4,provincial capital
爱情,ai4 qing2,love (noun)
注意安全,zhu4 yi4 an1 quan2,be careful (lit. pay attention to safety)
白天,bai2 tian1,day time/during the day
出书,chu1 shu1,publish books
份,fen4,mw for gifts articles jobs
愿望,yuan4 wang4,desire/wish (noun)
口语,kou3:2 yu3,colloquial speech/spoken language
爱人,ai4 ren2,spouse (coll)
老公,lao3 gong1,husband (coll)
帝,di4,emperor (c. 皇帝)
皇帝,huang2 di4,emperor
小皇帝,xiao3 huang2 di4,spoiled child/pampered only child
谁照顾你孙子和孙女,shui2 zhao4 gu4: ni3 sun1 zi he2 sun1 nv3,who takes care of your grandson and granddaughter?/who takes care of your grandchildren?
比方,bi3 fang1,analogy/for instance  (sim. 比方说)
比方说,bi3 fang1 shuo1,for example/for instance (sim. 比方)
有的方面一样,you3 de fang1 mian4 yi1:2 yang4,in some respects they are the same/they are the same in some respects
操,cao1,grasp/hold/operate (c. 操场/早操)
操场,cao1 chang3,playground/sports field
早操,zao3 cao1,en masse morning exercises
自习,zi4 xi2,self-study/study outside of class
早睡早起,zao3 shui4 zao3:2 qi3,early to bed early to rise/to keep early hours
家务,jia1 wu4,housework/chores
出版商,chu1 ban3 shang1,publishter
主任,zhu3 ren4,director
部分,bu4 fen1,part/share/section (c. 大部分/一小部分)
大部分,da4 bu4 fen1,greater part/uncountable majority
一小部分,yi1:4 xiao3 bu4 fen1,smaller part/uncountable minority
多数,duo1 shu4,many in number/countable majority
少数,shao3 shu4,few in number/countable minority
大多数,da4 duo1 shu4,very many in number/countable large majority
极少数,ji2 shao3 shu4,very few in number/countable small minority
宠,chong3,spoil/pamper/favor
我们都生活在共同的世界里,wo3 men dou1 sheng1 huo2 zai4 gong4 tong2 de shi4 jie4 li3,we all live in a common world
住院,zhu4 yuan4,to be in the hospital/be hospitalized
宠物,chong3 wu4,house pet (lit. spoiled thing)
养,yang3,to raise animals or children (c. 营养/养生)
象,xiang4,elepgant/shape/form/appearance (c. 象征)
征,zheng1,attack/go on combat campaign (c. 象征)
象征,xiang4 zheng1,emblem/symbol/token
兔子,tu4 zi,rabbit/hare
金鱼,jin1 yu2,goldfish
出版,chu1 ban3,publish
成本,cheng2 ben3,business costs
忌,ji4,avoid/abstain from/dread (c. 忌口)
忌口,ji4 kou3,avoid certain foods/be on a diet
川,chuan1,river (bound form) (c. 四川) [巛/巜]
四川,si4 chuan1,sichuan provience
敏,min3,quick/nimble (c. 过敏)
过敏,guo4 min3,oversensitive/allergic to
花生,hua1 sheng1,peanut/groundnut
我对花生和海鲜过敏,wo3 dui4 hua1 sheng1 he2 hai3 xian1 guo4 min3,i am allergic to peanuts and seaford
有机,you3 ji1,organic
农,nong2,to farm (verb)/agriculture (noun) (c. 农场/农民)
农场,nong2 chang3,farm (noun)
农民,nong2 min2,farmer
遛,liu4,to walk an animal (eg. 遛鸟/遛狗)
牌,pai2,playing card/mahjong tile/game piece/signboard (c. 登机牌)
腐,fu3,decay/rotten (c. 豆腐)
豆腐,dou4 fu3:,tofu
请豆腐里别放肉,qing3 dou4 fu3: li3 bie2 fang4 rou4,please do not put meat in the tofu
壶,hu2,pot/kettle/mw for bottled liquid
一壶茶、两双筷子和三碗豆腐,yi1:4 hu2 cha2 : liang3 shuang1 kuai4 zi he2 san1 wan3 dou4 fu3:,one pot of tea two pairs of chopsticks and three bowls of tofu
动物园,dong4 wu4 yuan2,zoo
素,su4,vegetarian food
我的妻子吃素,wo3 de qi1 zi chi1 su4,my wife is a vegetarian/my wife eats vegetarian food
体操,ti3 cao1,gymnastics
海报,hai3 bao4,poster
治,zhi4,rule/govern/control/treat (c. 三明治/治疗)
三明治,san1 ming2 zhi4,sandwich food (loanword)
继,ji4,continue/follow (c. 继续)
续,xu4,continue/replenish (c. 继续)
继续,ji4 xu4,continue/proceed/go on with
单身,dan1 shen1,single/unmarried
请问要什么饮料,qing3 wen4 yao4 shen2 me yin3 liao4,excuse me what beverages do you want?
清真,qing1 zhen1,islamic/muslim/halal food (lit. pure and true)
佛,fo2,buddha/buddhism (c. 佛寺)
寺,si4,temple (c. 佛寺/清真寺)
佛寺,fo2 si4,buddhist temple
清真寺,qing1 zhen1 si4,mosque/islamic temple
回民,hui2 min2,hui ethnic group/chinese muslisms
面食,mian4 shi2,food made from wheat flour (eg noodles bread)
大清真寺的建筑有中国特色,da4 qing1 zhen1 si4 de jian4 zhu4 you3 zhong1 guo2 te4 se4,the great mosque's architecture has chinese characteristics
趟,tang4,mw for trips or journeys
去了趟,qu4 le tang4,went once/went one time
却,que4,contrast with a negative thought (但是+subj+却+verb/adj)
睡着,shui4 zhao2,to fall asleep
捧,peng3,hold in both hands/clasp
你觉得，怎么样,ni3 jue2 de : zen3 me yang4,what do you think about ...?
吃得完,chi1 de wan2,able to finish eating/can finish eating
吃不完,chi1 bu4 wan2,unable to finish eating/cannot finish eating
潮,chao2,humid/moist/damp (c 潮湿)
湿,shi1,moist/wet (c. 潮湿)
潮湿,chao2 shi1,humid/moist/damp
钟楼,zhong1 lou2,bell tower in xian
鼓楼,gu3 lou2,drum tower in xian
广场,guang3:2 chang3,public square/plaza
钟鼓楼广场,zhong1 gu3 lou2 guang3:2 chang3,bell and drum tower square
四川在中国的南方，空气很潮湿,si4 chuan1 zai4 zhong1 guo2 de nan2 fang1 : kong1 qi4 hen3 chao2 shi1,sichuan is in southern china and the air is humid
西安在中国的北方，气候很干燥,xi1 an1 zai4 zhong1 guo2 de bei3 fang1 : qi4 hou4 hen3 gan1 zao4,xian is in northern china and the climate is dry
价,jia4,price/value (c. 价格/减价)
格,ge2,square/frame/standard (c. 价格/表格)
价格,jia4 ge2,price
快，的时候,kuai4 : de shi2 hou4:,it is almost (time of day)
马里兰,ma3:2 li3 lan2,maryland state
她在和我说,ta1 zai4 he2 wo3 shuo1,she is saying to me
过一次,guo4 yi1:2 ci4,experienced something once
我去过一次那里,wo3 qu4 guo4 yi1:2 ci4 na4 li3,i have been there once
廊,lang2,corridor/veranda/gallery (c. 画廊)
画廊,hua4 lang2,art gallery/decorated corridor
巡,xun2,patrol or make rounds (verb)/mw for drinks
逻,luo2,patrol (noun)
巡逻,xun2 luo2,police patrol/military patrol
天安门广场,tian1 an1 men2 guang3:2 chang3,tiananmen square
北京风很大特别是春天,bei3 jing1 feng1 hen3 da4 te4 bie2 shi4 chun1 tian1,beijing is very windy especially in the spring
沙,sha1,sand/gravel (c. 沙发)
沙发,sha1 fa1,sofa (loanword)
当代,dang1 dai4,present age/contemporary
艺,yi4,art/skill (c. 艺术)
艺术,yi4 shu4,art
厂,chang3,factory/depot/works (c. 工厂)
工厂,gong1 chang3,factory
年代,nian2 dai4,decade of a century
工厂是五十年代设计的,gong1 chang3 shi4 wu3 shi2 nian2 dai4 she4 ji4 de,the factory was designed in the 1950s
一次看不完,yi1:2 ci4 kan4 bu4 wan2,unable to see them all at once
墙,qiang2,wall
长城有八千八百公里长,chang2 cheng2 you3 ba1 qian1 ba1 bai3 gong1 li3 chang2,great wall is 8800 kilometers long
墙有八米高,qiang2 you3 ba1 mi3 gao1,wall is 8 meters tall
营,ying2,operate or manage (verb)/military camp or barracks (noun) (c. 民营/国营/军营/营养)
军营,jun1 ying2,barracks/military camp
袜子,wa4 zi,socks/stockings
放开,fang4 kai1,set free/release
捏,nie1,pinch/hold between fingers/massage
背,bei4,turn one's back/hide something from (verb)/back of the body (noun)
捏背能去火,nie1 bei4 neng2 qu4 huo3,massaging the back can release heat
烫,tang4,scalding hot
草药,cao3 yao4,herbal medicines
中草药,zhong1 cao3 yao4,chinese medicine (to be consumed)
前线,qian2 xian4,front lines/battlefront
一部分,yi1:2 bu4 fen1,portion/one part/a small part (more than 一点)
少量,shao3 liang4,a little bit/a few (sim. 一点)
取名,qu3 ming2,to name
爱护,ai4 hu4,cherish/love and protect/treasure
眠,mian2,sleep/hibernate (c. 失眠)
失眠,shi1 mian2,have insomnia/suffer from insomnia
你睡得好吗，我失眠,ni3 shui4 de hao3 ma : wo3 shi1 mian2,do you sleep well? i have insomnia
疗,liao2,treat/cure (verb)/therapy (noun) (c. 治疗)
治疗,zhi4 liao2,treat an illness (verb)/treatment (noun)
中医经常能治疗失眠,zhong1 yi1 jing1 chang2 neng2 zhi4 liao2 shi1 mian2,chinese medicine can often treat insomnia
长椅,chang2 yi3,bench (lit. long chair)
梨,li2,pear (alt. 梨子)
平面,ping2 mian4,plane/flat surface
棕,zong1,palm fiber/coconut fiber/brown color
棕色,zong1 se4,brown color
小时候,xiao3 shi2 hou4:,when one was young/in one's childhood
收入,shou1 ru4,to take in (verb)/income or revenue (noun)
姐姐比他跑得快,jie3 jie3: bi3 ta1 pao3 de kuai4,my older sister runs faster than he does (alt. 姐姐跑得比我快)
姐姐跑得比他快,jie3 jie3: pao3 de bi3 ta1 kuai4,my older sister runs faster than he does (alt. 姐姐比我跑得快)
时间过得很慢,shi2 jian1 guo4 de hen3 man4,time passes slowly
植,zhi2,to plant in the ground (c. 植物)
植物,zhi2 wu4,plants/vegetation
物种,wu4 zhong3,species of living thing
丰,feng1,plentiful/abundant (c. 丰富/丰收)
丰富,feng1 fu4,plentiful/abundant (adj)
富有,fu4 you3,rich/wealthy
云,yun2,cloud (c. 云南省)
云南省,yun2 nan2 sheng3,yunnan province
云南省有一万五千种植物,yun2 nan2 sheng3:2 you3 yi1:2 wan4 wu3 qian1 zhong3 zhi2 wu4,yunnan province has 15000 kinds of plants
孤,gu1,lone/lonely (c. 孤独)
独,du2,alone/independent/sole (c. 孤独/独特)
孤独,gu1 du2,lonely/solitary (adj)
独特,du2 te4,unique/distinct (adj)
变成,bian4 cheng2,change into/turn into/become
恼,nao3,to get angry (c. 烦恼)
烦恼,fan2 nao3,be worried/be distressed
从前,cong2 qian2,previously/formerly/as before
调皮,tiao2 pi2,naughty/mischievous/unruly
结束以后,jie2 shu4 yi3 hou4,after it ends/after it finishes/after it is over
之,zhi1,possessive particle like 的 (c. 之后/之后/百分之)
之前,zhi1 qian2,before event or time (emphasizing now) (alt. 以前)
之后,zhi1 hou4,after event or time (emphasizing now) (alt. 以后)
百分之,bai3 fen1 zhi1,percent
订单,ding4 dan1,purchase order
我想下订单,wo3:2 xiang3 xia4 ding4 dan1,i would like to place an order
运费,yun4 fei4,shipping fee/freight fee
运费多少钱,yun4 fei4 duo1 shao3 qian2,how much is the shipping fee?
税,shui4,taxes/duties
有进口税吗,you3 jin4 kou3 shui4 ma,is there an import tax?/is there a tariff?
我想订一百五十束鲜花,wo3:2 xiang3 ding4 yi1:4 bai3:2 wu3 shi2 shu4 xian1 hua1,i would like to order one 150 bouquets of fresh flowers
交货,jiao1 huo4,to deliver goods
回报,hui2 bao4,reciprocate/retaliate/in return for
建议,jian4 yi4,propose/suggest/recommend (plus nouns for each)
闭,bi4,shut/close/obstruct (c. 闭嘴)
闭嘴,bi4 zui3,shut up/shut your mouth
括,kuo4,enclose/include (c. 包括)
包括,bao1 kuo4,comprise/include/consist of
在内,zai4 nei4,included in it/among them
出口税包括在内,chu1 kou3 shui4 bao1 kuo4 zai4 nei4,the export tax is included (inside)
污,wu1,smear or defile (verb)/foul or corrupt (adj) (c. 污染)
污染,wu1 ran3,pollution/contamination
太阳能板,tai4 yang2 neng2 ban3,solar panels/solar energy panels (mw 块)
太阳能不污染环境,tai4 yang2 neng2 bu4 wu1 ran3 huan2 jing4,solar energy does not pollute the environment
海运,hai3 yun4,shipping by sea/sea transport/sea freight (noun)
空运,kong1 yun4,shipping by air/air transport/air freight (noun)
海运比空运便宜,hai3 yun4 bi3 kong1 yun4 pian2 yi2:,shipping by sea is cheaper than shipping by air
广州,guang3 zhou1,guangzhou (canton city)
广东省,guang3 dong1 sheng3,guangdong province
广西省,guang3 xi1 sheng3,guangxi province
不久以前,bu4 jiu3:2 yi3 qian2,not long ago/not a long time ago
技,ji4,skill (c. 高科技)
高科技,gao1 ke1 ji4,high technology
电子,dian4 zi3,electronic/electrons in physics (c. 电子邮件)
产,chan3,produce (verb)/product (noun) (c. 产品/生产)
产品,chan3:2 pin3,goods/merchanise/product
融,rong2,melt/thaw/blend/merge (c. 金融)
金融,jin1 rong2,financial (adj)/finance (noun)
特区,te4 qu1,special zone (c. 经济特区)
经济特区,jing1 ji4 te4 qu1,special economic zone
无情,wu2 qing2,ruthless/merciless/pitiless
必要,bi4 yao4,necessary/essential/required
事件,shi4 jian4,event/incident/case
政,zheng4,political/politics/government (c. 行政/政治)
行政,xing2 zheng4,administrative/executive
政治,zheng4 zhi4,political/politics
虾,xia1,shrimp/prawn
豆沙包,dou4 sha1 bao1,bean paste bun
赛马,sai4 ma3,horse races/horse racing
夜,ye4,night (c. 夜景)
夜景,ye4 jing3,nightscape/night scenery
去世,qu4 shi4,pass away/die
及,ji2,to reach/up to/in time for (c. 及时)
及时,ji2 shi2,timely/at the right time/promptly/without delay
花一个小时去跑步,hua1 yi1:2 ge4 xiao3 shi2 qu4 pao3 bu4,take an hour to go run/spend 1 hour to go run
实习,shi2 xi2,intern/intership
你怎么跟他联系,ni3 zen3 me gen1 ta1 lian2 xi4,how do you contact him?/how do you get in touch with him?
他经常给我发短信,ta1 jing1 chang2 gei3:2 wo3 fa1 duan3 xin4,he often sends me text messages/he often texts me
澳门,ao4 men2,macao/macau/aomen
葡萄牙,pu2 tao2 ya2,portugal country
交易所,jiao1 yi4 suo3,stock exchange
连米饭我都做不好,lian2 mi3 fan4 wo3 dou1 zuo4 bu4 hao3,i cannot even cook rice well
州,zhou1,state/prefecture
马里兰是美国的一个州,ma3:2 li3 lan2 shi4 mei3 guo2 de yi1:2 ge4 zhou1,maryland is a state in america/maryland is one of america's states
排队,pai2 dui4,to line up/to stand in line
教堂,jiao4 tang2,church/chapel
中餐,zhong1 can1,chinese food
半年,ban4 nian2,half a year
厨师,chu2 shi1,cook/chef
赌,du3,bet/gamble (c. 赌博/赌场)
赌博,du3 bo2,gamble/gambling
赌场,du3:2 chang3,casino
生鱼片,sheng1 yu2 pian4,sashimi (lit. raw fish slice)
熟,shu2,thoroughly cooked/ripe (pr. shou2) (c. 成熟)
开水,kai1 shui3,boiled water/boiling water
生水,sheng1 shui3,unboiled water/tap water
等于,deng3 yu2,equal to/be tantamount to
卧,wo4,lie/crouch (c. 卧室)
卧室,wo4 shi4,bedroom
收银,shou1 yin2,receive payment
