# chinese,pinyin,english and descriptions
放,fang4,put/release/free/let go/set off fireworks
煮,zhu3,cook over a fire/boil in water
上学,shang4 xue2,go to school
放学,fang4 xue2,get out of school
上班,shang4 ban1,go to work/be on duty
下班,xia4 ban1,get out of work
太，了,tai4 : le,too .../excessively ...
买,mai3,buy/purchase
卖,mai4,sell or betray (verb)/sale (noun)
只,zhi1 :: zhi3,mw for cats/dogs/birds :: only/merely/just
二千七百零五块四毛九分,er4 qian1 qi1 bai3 ling2 wu3 kuai4 si4 mao2 jiu3 fen1,2705.49 yuan
共,gong4,common/general
一共,yi1:2 gong4,altogether/in total (alt. 总共)
总共,zong3 gong4,altogether/in total (alt. 一共)
收,shou1,receive/accept/collect (c. 收据)
信,xin4,letter or mail (noun)/trust or believe in (verb)
用,yong4,use/employ
卡,ka3,card (noun)/stop or block (verb)
信用,xin4 yong4,trust/commercial credit
信用卡,xin4 yong4 ka3,credit card
宜,yi2,should (verb)/suitable (adj) (c. 便宜)
便宜,pian2 yi2:,inexpensive/cheap/small advantages
贵,gui4,expensive/precious/noble or honorable when before 姓
金,jin1,gold [钅]
现金,xian4 jin1,cash
行,xing2 :: hang2,ok/will do/travel :: commercial firm/line of business (c. 银行)
报,bao4,announce/inform/report (c. 报纸/报销/报告/汇报/预报)
纸,zhi3,paper (c. 报纸)
报纸,bao4 zhi3,newspaper
视,shi4,look at/regard/vision (c. 电视)
电视,dian4 shi4,tv/television
干,gan1 :: gan4,dry/empty :: do/doing
影,ying3,film (c. 电影)
电影,dian4 ying3,movie
糸,mi4,silk [纟]
网,wang3,net/network (c. 上网/网球) [罒]
上网,shang4 wang3,go online
机,ji1,machine/opportunity/intention (c. 手机/飞机/机会)
手机,shou3 ji1,cell phone
手机游戏,shou3 ji1 you2 xi4,cell phone games
开机,kai1 ji1,turn on a machine
关机,guan1 ji1,turn off a machine
明星,ming2 xing1,celebrity
新,xin1,new/newly (c. 新闻) (opp. 旧)
闻,wen2,hear/smell (c. 新闻)
新闻,xin1 wen2,news
节,jie2,economize or save (verb)/festival or holiday (noun) (c. 节目/节日/节约)/mw for lessons
目,mu4,item/list/catalogue (c. 节目/项目)
节目,jie2 mu4,show/program
体,ti3,body/form/substance (c. 身体/简体)
育,yu4,educate (c. 体育)
体育,ti3 yu4,sports/physical education
房,fang2,house/room (c. 房间/订房/厨房/房子)
房间,fang2 jian1,room
桌子,zhuo1 zi,table/desk
椅子,yi3 zi,chair
箱,xiang1,box/trunk/chest (c. 冰箱)
冰箱,bing1 xiang1,icebox/refrigerator
在桌子上,zai4 zhuo1 zi shang4,on the table
在椅子下,zai4 yi3 zi xia4,under the chair
在冰箱里,zai4 bing1 xiang1 li3,inside the icebox/inside the refrigerator
在房间外,zai4 fang2 jian1 wai4,outside the room
你看见，了吗,ni3 kan4 jian4 : le ma,did you see ...?/have you seen ...?
你看见他的眼镜了吗,ni3 kan4 jian4 ta1 de yan3 jing4 le ma,did you see his glasses?/have you seen his glasses?
找,zhao3,seek/search for/look for/try to find
找到,zhao3 dao4,find
位,wei4,individual/seat/place (formal mw) (c. 座位)
等,deng3,await/wait for/equal to
坐,zuo4,sit/take a seat/embark onto vehicle
订,ding4,agree/subscribe/order (c. 订位/订房)
订位,ding4 wei4,make reservation/book a table
进,jin4,enter/advance/go forward
菜,cai4,vegetable/cuisine/dish (type of food)
单,dan1,bill/list/form (c. 买单/菜单/简单)
买单,mai3 dan1,pay bill/take check (restaurant)
菜单,cai4 dan1,food menu
服,fu2,clothes/dress/garment (c. 服务员/衣服)
务,wu4,service/affair/matter (c. 服务员/家务)
员,yuan2,employee/member (c. 服务员)
服务,fu2 wu4,to serve/service (c. 服务员)
服务员,fu2 wu4 yuan2,server/waiter/waitress/service person
有人,you3 ren2,someone
